Timestamp,Full Name,Email ID,Mobile Number,Gender,Branch,Year of Study,Current CGPA (out of 10),Average Study Hours per Week,Class Attendance (%),Have you done any internships?,Number of Technical Clubs or Competitions Participated In,Number of Certifications or Online Courses Completed,Preferred Career choice,"Resources Used for Learning (e.g., YouTube, Coursera, Books)",Main Challenges Faced During Study,Satisfaction with College Support Services (1 to 5) (Linear scale: 1 - Very Unsatisfied to 5 - Very Satisfied),Any Suggestions to Improve Academic or Career Support
2025/06/09 6:41:07 PM GMT+5:30,Student_75cf25d3,email_4d79b800@anonymous.com,xxxxxx7945,Female,Computer Science,3Rd,7.02,4.0,75,Yes,0,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","YouTube , videos ",Other,1;2,Career Support
2025/06/09 6:44:10 PM GMT+5:30,Student_254eb943,email_2fea429a@anonymous.com,xxxxxx5628,Male,Electronics,3Rd,7.0,4.0,50,Yes,4,13,"Core Engineering Fields(Electrical Engineer,Civil Engineer etc )","Udemy, youtube ",Motivation,3,Other Suggestions
2025/06/09 6:54:04 PM GMT+5:30,Student_eb31b9df,email_99c78dde@anonymous.com,xxxxxx1735,Female,Computer Science,3Rd,8.7,30.0,75,No,2,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","Online Courses, GeeksForGeeks, Youtube ",Technical Issues,1,Infrastructure
2025/06/09 7:04:39 PM GMT+5:30,Student_36212f6d,email_4a4048a8@anonymous.com,xxxxxx0989,Male,Computer Science,1St,8.5,22.0,80,No,1,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",You tube,Other,2,Other Suggestions
2025/06/09 7:05:54 PM GMT+5:30,Student_c78b3589,email_91abc229@anonymous.com,xxxxxx6452,Female,Computer Science,2Nd,8.3,15.0,70,No,2,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Concentration,3,Other Suggestions
2025/06/09 7:06:56 PM GMT+5:30,Student_353d0073,email_14018bed@anonymous.com,xxxxxx6839,Male,Computer Science,3Rd,8.61,2.0,65,No,1,3,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Concentration,1,Other Suggestions
2025/06/09 7:19:35 PM GMT+5:30,Student_fc44a793,email_76564745@anonymous.com,xxxxxx6076,Male,Computer Science,2Nd,7.0,15.0,50,No,0,1,Startup,YouTube ,Other,1,Career Support
2025/06/09 7:20:16 PM GMT+5:30,Student_1142ecfd,email_c37755c5@anonymous.com,xxxxxx7261,Male,Electrical,1St,9.0,40.0,85,No,2,2,"Research & Academia(Mtech,phd)","Youtube, Books",Time Management,3,Other Suggestions
2025/06/09 7:27:04 PM GMT+5:30,Student_dff4a043,email_4d844856@anonymous.com,xxxxxx3359,Male,Computer Science,1St,8.0,4.0,80,No,2,0,Startup,"Books,u tube",Motivation,2,Teaching Methods
2025/06/09 7:36:59 PM GMT+5:30,Student_71dcf6f8,email_9bf59c26@anonymous.com,xxxxxx2379,Male,Electronics,2Nd,8.5,10.0,85,Yes,1,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Yt,Time Management,3,Other Suggestions
2025/06/09 7:41:13 PM GMT+5:30,Student_68468ae4,email_572dd79a@anonymous.com,xxxxxx7712,Female,Electrical,2Nd,7.0,5.0,60,No,0,0,"Core Engineering Fields(Electrical Engineer,Civil Engineer etc )","Youtube , Books",Time Management,3,Other Suggestions
2025/06/09 7:50:31 PM GMT+5:30,Student_919c1493,email_284eb96c@anonymous.com,xxxxxx3075,Male,Computer Science,1St,9.0,24.0,80,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",youtube,Time Management,4,Other Suggestions
2025/06/09 7:59:41 PM GMT+5:30,Student_ebd65dc2,email_b32a2ba3@anonymous.com,xxxxxx0403,Female,Computer Science,3Rd,7.5,15.0,75,No,1,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","You tune, courses",Time Management,2,Practical Learning
2025/06/09 8:01:02 PM GMT+5:30,Student_1e999e1c,email_e19cc5e9@anonymous.com,xxxxxx3339,Female,Electronics,2Nd,7.6,45.0,75,No,4,3,"Core Engineering Fields(Electrical Engineer,Civil Engineer etc )",unacademy and youtube ,Other,1,Other Suggestions
2025/06/09 8:09:36 PM GMT+5:30,Student_e084c75e,email_2c59617d@anonymous.com,xxxxxx5129,Male,Electrical,1St,8.0,14.0,85,No,1,0,"Core Engineering Fields(Electrical Engineer,Civil Engineer etc )",Youtube,Concentration,3,Other Suggestions
2025/06/09 8:15:51 PM GMT+5:30,Student_527fb88c,email_c7c02c91@anonymous.com,xxxxxx8500,Male,Computer Science,1St,6.67,10.0,80,No,0,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","you tube , courses ",Motivation,2,Curriculum
2025/06/09 8:21:14 PM GMT+5:30,Student_4f64a406,email_f8c4fab6@anonymous.com,xxxxxx8963,Male,Computer Science,1St,6.5,30.0,80,No,0,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube ,Time Management,3,Other Suggestions
2025/06/09 8:26:04 PM GMT+5:30,Student_96a62b58,email_87fa176a@anonymous.com,xxxxxx4592,Male,Electrical,1St,7.9,30.0,84,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Other,3,Teaching Methods
2025/06/09 8:29:28 PM GMT+5:30,Student_32dc8a78,email_8c22cd1a@anonymous.com,xxxxxx0660,Female,Computer Science,3Rd,8.4,4.0,80,Yes,0,3,"Research & Academia(Mtech,phd)",youtube,Concentration,1,No Suggestion
2025/06/09 8:34:31 PM GMT+5:30,Student_2b6b0f76,email_465152f8@anonymous.com,xxxxxx3550,Male,Computer Science,3Rd,8.5,18.0,50,Yes,6,0,"Business & Management (Mba ,product manager ,etc)",Youtube/Books,Motivation,1,Other Suggestions
2025/06/09 8:41:50 PM GMT+5:30,Student_4353bbe1,email_d05ecc8b@anonymous.com,xxxxxx1710,Male,Electrical,1St,7.5,16.0,80,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Time Management,3,Other Suggestions
2025/06/09 8:43:05 PM GMT+5:30,Student_978c1f00,email_65edb50b@anonymous.com,xxxxxx4248,Male,Computer Science,3Rd,8.8,10.0,80,Yes,2,3,"Business & Management (Mba ,product manager ,etc)","Youtube, udemy",Other,4,Practical Learning
2025/06/09 8:54:49 PM GMT+5:30,Student_ac0905fd,email_9fa4bc06@anonymous.com,xxxxxx7017,Male,Electronics,1St,8.0,4.0,84,No,1,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Other,4,Other Suggestions
2025/06/09 9:00:38 PM GMT+5:30,Student_3b0e3a6c,email_6caffedc@anonymous.com,xxxxxx4339,Male,Electronics,3Rd,8.2,0.1,55,No,3,5,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","Courses, youtube",Concentration,1,Other Suggestions
2025/06/09 10:28:29 PM GMT+5:30,Student_61d25e40,email_ceeeb036@anonymous.com,xxxxxx1182,Male,Computer Science,3Rd,6.17,21.0,78,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Other,4,Other Suggestions
2025/06/09 10:29:41 PM GMT+5:30,Student_3d4910e0,email_7d0cf039@anonymous.com,xxxxxx1484,Female,Computer Science,3Rd,8.9,8.0,79,No,1,6,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","Youtube,udemy,deepseek,chatgpt,books",Concentration,4,Other Suggestions
2025/06/09 10:46:54 PM GMT+5:30,Student_76da0921,email_203fe3f1@anonymous.com,xxxxxx0863,Female,Computer Science,1St,9.0,35.0,90,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Other,5,No Suggestion
2025/06/09 10:55:06 PM GMT+5:30,Student_b8c602f2,email_b8a6c3b4@anonymous.com,xxxxxx7432,Female,Computer Science,3Rd,7.8,18.0,80,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Other,3,Other Suggestions
2025/06/09 10:55:53 PM GMT+5:30,Student_3c0b4607,email_942728e3@anonymous.com,xxxxxx1161,Male,Computer Science,2Nd,7.0,1.0,70,Yes,4,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Motivation,2,Other Suggestions
2025/06/09 10:58:06 PM GMT+5:30,Student_7b8550b7,email_f98c061a@anonymous.com,xxxxxx9661,Male,Electronics,2Nd,8.32,0.522222222,45,No,3,0,"Business & Management (Mba ,product manager ,etc)",utube,Concentration,1,Other Suggestions
2025/06/09 11:10:37 PM GMT+5:30,Student_089ae3d8,email_6f363503@anonymous.com,xxxxxx3155,Male,Computer Science,2Nd,9.14,24.0,70,Yes,2,4,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Time Management,3,Practical Learning
2025/06/09 11:49:06 PM GMT+5:30,Student_69413320,email_9a021e42@anonymous.com,xxxxxx8235,Male,Computer Science,2Nd,7.8,60.0,78,No,0,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",udemy,Other,1;3,No Suggestion
2025/06/09 11:54:30 PM GMT+5:30,Student_e2c19256,email_55264eb0@anonymous.com,xxxxxx7566,Male,Computer Science,2Nd,7.5,4.0,78,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","YouTube,Coursera",Other,1,Other Suggestions
2025/06/10 12:45:08 AM GMT+5:30,Student_879018d1,email_2c5006cf@anonymous.com,xxxxxx5057,Female,Computer Science,3Rd,8.2,10.0,65,No,0,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube mostly,Time Management,2,Other Suggestions
2025/06/10 1:43:50 AM GMT+5:30,Student_26db57dd,email_0b476a9e@anonymous.com,xxxxxx1519,Male,Electronics,3Rd,7.0,24.0,35,No,10,0,"Business & Management (Mba ,product manager ,etc)",Youtube,Concentration,5,Other Suggestions
2025/06/10 1:47:14 AM GMT+5:30,Student_848b6331,email_7b55d3db@anonymous.com,xxxxxx8895,Female,Computer Science,3Rd,7.5,2.0,80,No,5,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","Udemy, college ",Other,4,Teaching Methods
2025/06/10 1:48:16 AM GMT+5:30,Student_f4f1786f,email_6c9eaf30@anonymous.com,xxxxxx4005,Male,Computer Science,3Rd,8.0,20.0,83,Yes,15,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Documents ,Other,3,No Suggestion
2025/06/10 2:56:45 AM GMT+5:30,Student_5596a1dc,email_db2d2554@anonymous.com,xxxxxx2141,Male,Computer Science,3Rd,7.2,30.0,40,No,2,4,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Other,2,Career Support
2025/06/10 7:39:14 AM GMT+5:30,Student_f043133a,email_ed19c13c@anonymous.com,xxxxxx8366,Male,Mechanical,2Nd,6.0,5.0,88,No,1,1,Startup,Books ,Other,5,Other Suggestions
2025/06/10 10:05:19 AM GMT+5:30,Student_b6035c86,email_6bc99ef0@anonymous.com,xxxxxx0965,Male,Computer Science,3Rd,6.45,30.0,65,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","YouTube, Learnyard-DSA ",Other,5,Other Suggestions
2025/06/10 11:14:38 AM GMT+5:30,Student_00b88d83,email_e94d2b0a@anonymous.com,xxxxxx6333,Female,Computer Science,3Rd,7.96,6.0,60,Yes,2,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Time Management,2,Other Suggestions
2025/06/10 4:33:22 PM GMT+5:30,Student_fc102291,email_3712b7aa@anonymous.com,xxxxxx4383,Female,Electrical,3Rd,6.7,8.0,54,No,1,1,"Business & Management (Mba ,product manager ,etc)",YouTube ,Other,1,Other Suggestions
2025/06/10 8:56:38 PM GMT+5:30,Student_57d15cfa,email_7051e1da@anonymous.com,xxxxxx2381,Female,Computer Science,3Rd,7.736,4.0,78,No,2,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Other,4,Other Suggestions
2025/06/10 10:19:52 PM GMT+5:30,Student_ec5abca1,email_ea20a50e@anonymous.com,xxxxxx6966,Male,Computer Science,3Rd,7.0,20.0,78,No,5,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","YouTube, Udemy, Chatgpt ",Other,2,Curriculum
2025/06/10 10:23:24 PM GMT+5:30,Student_085696bc,email_86526f16@anonymous.com,xxxxxx7276,Male,Computer Science,2Nd,3.55,3.0,56,No,1,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",You tube,Concentration,3,Other Suggestions
2025/06/10 10:25:58 PM GMT+5:30,Student_ec5abca1,email_42d518ad@anonymous.com,xxxxxx7330,Male,Computer Science,3Rd,6.0,2.0,78,No,4,3,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Other,3,Career Support
2025/06/10 10:27:57 PM GMT+5:30,Student_14bea5f9,email_db07da11@anonymous.com,xxxxxx2950,Male,Computer Science,4Th,6.0,10.0,30,No,3,3,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Other,3,Other Suggestions
2025/06/10 10:43:09 PM GMT+5:30,Student_3c996826,email_984c7775@anonymous.com,xxxxxx5899,Male,Computer Science,3Rd,7.0,7.0,77,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Time Management,1;2,Other Suggestions
2025/06/10 11:30:59 PM GMT+5:30,Student_1b914ed3,email_870f5bda@anonymous.com,xxxxxx3695,Male,Computer Science,2Nd,6.0,3.0,50,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",You tube,Other,1,Other Suggestions
2025/06/10 11:44:29 PM GMT+5:30,Student_063e4026,email_13b6afd5@anonymous.com,xxxxxx6142,Male,Computer Science,4Th,6.57,18.0,79,No,3,6,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Time Management,4,Infrastructure
2025/06/11 5:23:59 AM GMT+5:30,Student_abd368de,email_b56d0d2a@anonymous.com,xxxxxx0860,Male,Computer Science,3Rd,7.5,35.0,60,No,14,5,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Your tube pappp,Other,3,Other Suggestions
2025/06/11 8:22:21 AM GMT+5:30,Student_40316d22,email_1549e058@anonymous.com,xxxxxx1587,Female,Computer Science,1St,8.9,36.0,92,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","You tube, course ",Other,2,Teaching Methods
2025/06/11 8:36:32 AM GMT+5:30,Student_e8720e8e,email_3e71c608@anonymous.com,xxxxxx1224,Male,Computer Science,3Rd,6.67,4.0,40,No,1,1,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Other,3,Career Support
2025/06/11 9:05:38 AM GMT+5:30,Student_ae95b4a1,email_818bca4c@anonymous.com,xxxxxx1104,Male,Computer Science,3Rd,6.7,3.0,70,Yes,1,3,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Other,1,Infrastructure
2025/06/11 1:47:25 PM GMT+5:30,Student_77d2292c,email_49c5e28b@anonymous.com,xxxxxx1991,Male,Computer Science,1St,7.5,10.0,75,No,5,0,"Research & Academia(Mtech,phd)",Documentations,Other,2;3,Other Suggestions
2025/06/11 3:35:47 PM GMT+5:30,Student_b8014edc,email_2846eec2@anonymous.com,xxxxxx2006,Male,Electronics,2Nd,6.5,3.0,60,No,0,0,"Core Engineering Fields(Electrical Engineer,Civil Engineer etc )",YouTube ,Other,2,Other Suggestions
2025/06/11 8:49:48 PM GMT+5:30,Student_8d9eb326,email_43e2bb4f@anonymous.com,xxxxxx3325,Female,Computer Science,3Rd,7.2,8.0,80,No,0,0,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Other,4,Other Suggestions
2025/06/12 6:36:50 PM GMT+5:30,Student_e0ab2182,email_30a9003e@anonymous.com,xxxxxx7810,Female,Computer Science,3Rd,8.4,30.0,85,No,1,5,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube,Concentration,2,Other Suggestions
2025/06/12 7:00:03 PM GMT+5:30,Student_f5cbd06d,email_b1c10e3f@anonymous.com,xxxxxx2584,Female,Computer Science,3Rd,9.02,30.0,55,No,2,5,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",Youtube,Concentration,1,No Suggestion
2025/06/16 1:32:58 PM GMT+5:30,Student_2b700d62,email_08b2e55d@anonymous.com,xxxxxx3248,Male,Computer Science,4Th,8.72,10.0,65,No,1,7,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","Yoitube, Coursera, Udemy",Other,3,Other Suggestions
2025/06/17 3:09:59 PM GMT+5:30,Student_9520454b,email_e98c307f@anonymous.com,xxxxxx6247,Male,Computer Science,3Rd,8.3,7.0,70,No,0,1,"Research & Academia(Mtech,phd)",Youtube,Time Management,4,Other Suggestions
2025/06/17 7:16:11 PM GMT+5:30,Student_507b8a52,email_81e46435@anonymous.com,xxxxxx9410,Female,Computer Science,4Th,7.78,4.0,83,No,2,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Other,2,Other Suggestions
2025/06/19 7:36:59 PM GMT+5:30,Student_18cb8de4,email_107ee9ce@anonymous.com,xxxxxx0086,Female,Computer Science,3Rd,8.8,4.0,85,Yes,0,15,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","Youtube, AI, gfg, etc",Time Management,2,Other Suggestions
2025/06/22 1:19:40 PM GMT+5:30,Student_fe6a73c7,email_d5af2d8f@anonymous.com,xxxxxx9889,Female,Computer Science,4Th,7.96,60.0,80,No,3,5,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Concentration,5,Curriculum
2025/06/22 1:21:10 PM GMT+5:30,Student_ffbe00d3,email_49a4f9f4@anonymous.com,xxxxxx5199,Female,Computer Science,3Rd,7.0,20.0,75,Yes,2,10,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)",YouTube ,Other,1,Career Support
2025/06/22 1:22:52 PM GMT+5:30,Student_8ed20654,email_70e7ce2e@anonymous.com,xxxxxx7530,Female,Electronics,4Th,8.9,45.0,75,Yes,3,1,"Core Engineering Fields(Electrical Engineer,Civil Engineer etc )",Youtube ,Other,1,Other Suggestions
2025/06/22 1:25:00 PM GMT+5:30,Student_afa53582,email_d28a1de6@anonymous.com,xxxxxx0709,Female,Computer Science,3Rd,8.5,90.0,75,No,1,2,"Technology & Engineering(Software Developer ,AI/ML Engineer,App dev,Web Developer ,UI/UX ,etc)","You tube, books, geeks for geeks ",Concentration,4,Career Support
2025/06/22 1:25:10 PM GMT+5:30,Student_cfeb65b5,email_161e4cef@anonymous.com,xxxxxx3611,Female,Computer Science,1St,8.1,10.0,85,Yes,10,20,Startup,Youtube and online courses as well as took help from seniors ,Time Management,4,Practical Learning
